Sector,Código de sector,Entidad,Código de entidad,Tipo de gasto,Año,apropiacion_corrientes,Apropiación a precios corrientes
Agricultura y desarrollo rural,17,Agencia de desarrollo rural - adr,1718,Funcionamiento,2025,57526196000.0,57526196000.0
Agricultura y desarrollo rural,17,Agencia de desarrollo rural - adr,1718,Inversión,2025,656674002345.0,656674002345.0
Agricultura y desarrollo rural,17,Agencia nacional de tierras - ant,1717,Funcionamiento,2025,82539448000.0,82539448000.0
Agricultura y desarrollo rural,17,Agencia nacional de tierras - ant,1717,Inversión,2025,1570644076174.0,1570644076174.0
Agricultura y desarrollo rural,17,Autoridad nacional de acuicultura y pesca - aunap,1715,Funcionamiento,2025,24417000000.0,24417000000.0
Agricultura y desarrollo rural,17,Autoridad nacional de acuicultura y pesca - aunap,1715,Inversión,2025,73520013996.0,73520013996.0
Agricultura y desarrollo rural,17,Instituto colombiano agropecuario (ica),1702,Funcionamiento,2025,219595508000.0,219595508000.0
Agricultura y desarrollo rural,17,Instituto colombiano agropecuario (ica),1702,Inversión,2025,270668107733.0,270668107733.0
Agricultura y desarrollo rural,17,Ministerio de agricultura y desarrollo rural,1701,Funcionamiento,2025,436853554000.0,436853554000.0
Agricultura y desarrollo rural,17,Ministerio de agricultura y desarrollo rural,1701,Inversión,2025,1097072964088.0,1097072964088.0
Agricultura y desarrollo rural,17,Unidad administrativa especial de gestión de restitución de tierras despojadas,1716,Funcionamiento,2025,80608731000.0,80608731000.0
Agricultura y desarrollo rural,17,Unidad administrativa especial de gestión de restitución de tierras despojadas,1716,Inversión,2025,455420835664.0,455420835664.0
Ambiente y desarrollo sostenible,32,Corporación  para el desarrollo sostenible de la mojana y el san jorge (corpomojana),3228,Funcionamiento,2025,3107181000.0,3107181000.0
Ambiente y desarrollo sostenible,32,Corporación  para el desarrollo sostenible del norte y oriente de la amazonia (cda),3224,Funcionamiento,2025,3250763399.0,3250763399.0
Ambiente y desarrollo sostenible,32,Corporación autónoma regional de boyacá (corpoboyacá),3235,Funcionamiento,2025,2837208309.0,2837208309.0
Ambiente y desarrollo sostenible,32,Corporación autónoma regional de caldas (corpocaldas),3211,Funcionamiento,2025,5283500000.0,5283500000.0
Ambiente y desarrollo sostenible,32,Corporación autónoma regional de chivor (corpochivor),3236,Funcionamiento,2025,3185000000.0,3185000000.0
Ambiente y desarrollo sostenible,32,Corporación autónoma regional de la  guajira (corpoguajira),3218,Funcionamiento,2025,5048300000.0,5048300000.0
Ambiente y desarrollo sostenible,32,Corporación autónoma regional de la frontera nororiental (corponor),3217,Funcionamiento,2025,5315100000.0,5315100000.0
Ambiente y desarrollo sostenible,32,Corporación autónoma regional de la orinoquia (corporinoquia),3229,Funcionamiento,2025,2947800000.0,2947800000.0
Ambiente y desarrollo sostenible,32,Corporación autónoma regional de los valles del sinú y san jorge (cvs),3208,Funcionamiento,2025,4024700000.0,4024700000.0
Ambiente y desarrollo sostenible,32,Corporación autónoma regional de nariño (corponariño),3216,Funcionamiento,2025,3513251788.0,3513251788.0
Ambiente y desarrollo sostenible,32,Corporación autónoma regional de risaralda (carder),3215,Funcionamiento,2025,3514167948.0,3514167948.0
Ambiente y desarrollo sostenible,32,Corporación autónoma regional de santander (cas),3234,Funcionamiento,2025,3161500000.0,3161500000.0
Ambiente y desarrollo sostenible,32,Corporación autónoma regional de sucre (carsucre),3230,Funcionamiento,2025,3441456374.0,3441456374.0
Ambiente y desarrollo sostenible,32,Corporación autónoma regional del alto magdalena (cam),3231,Funcionamiento,2025,3275600000.0,3275600000.0
Ambiente y desarrollo sostenible,32,Corporación autónoma regional del atlántico (cra),3233,Funcionamiento,2025,2807918000.0,2807918000.0
Ambiente y desarrollo sostenible,32,Corporación autónoma regional del canal del dique (cardique),3238,Funcionamiento,2025,3065068000.0,3065068000.0
Ambiente y desarrollo sostenible,32,Corporación autónoma regional del cauca (crc),3221,Funcionamiento,2025,8006600000.0,8006600000.0
Ambiente y desarrollo sostenible,32,Corporación autónoma regional del centro de antioquia (corantioquia),3232,Funcionamiento,2025,3234214457.0,3234214457.0
Ambiente y desarrollo sostenible,32,Corporación autónoma regional del cesar (corpocesar),3219,Funcionamiento,2025,4025096652.0,4025096652.0
Ambiente y desarrollo sostenible,32,Corporación autónoma regional del guavio (corpoguavio),3237,Funcionamiento,2025,1014700000.0,1014700000.0
Ambiente y desarrollo sostenible,32,Corporación autónoma regional del magdalena (corpamag),3222,Funcionamiento,2025,6650774000.0,6650774000.0
Ambiente y desarrollo sostenible,32,Corporación autónoma regional del quindío (crq),3209,Funcionamiento,2025,6325400806.0,6325400806.0
Ambiente y desarrollo sostenible,32,Corporación autónoma regional del sur de bolívar (csb),3239,Funcionamiento,2025,3700700000.0,3700700000.0
Ambiente y desarrollo sostenible,32,Corporación autónoma regional del tolima (cortolima),3214,Funcionamiento,2025,2926072953.0,2926072953.0
Ambiente y desarrollo sostenible,32,Corporación autónoma regional para el desarrollo sostenible del choco (codechoco),3212,Funcionamiento,2025,99070023380.0,99070023380.0
Ambiente y desarrollo sostenible,32,Corporación autónoma regional para la defensa de la meseta de bucaramanga (cdmb),3213,Funcionamiento,2025,1702100000.0,1702100000.0
Ambiente y desarrollo sostenible,32,"Corporación para el desarrollo sostenible del archipiélago de san andres, providencia y santa catalina (coralina)",3226,Funcionamiento,2025,3159139259.0,3159139259.0
Ambiente y desarrollo sostenible,32,Corporación para el desarrollo sostenible del sur de la amazonia (corpoamazonia),3223,Funcionamiento,2025,3044415021.0,3044415021.0
Ambiente y desarrollo sostenible,32,Corporación para el desarrollo sostenible del urabá (corpourabá),3210,Funcionamiento,2025,5049176129.0,5049176129.0
Ambiente y desarrollo sostenible,32,Corporación para el desarrollo sostenible del área de manejo especial la macarena (cormacarena),3227,Funcionamiento,2025,3443000000.0,3443000000.0
Ambiente y desarrollo sostenible,32,Fondo nacional ambiental,3204,Funcionamiento,2025,98170300000.0,98170300000.0
Ambiente y desarrollo sostenible,32,Fondo nacional ambiental,3204,Inversión,2025,175098406366.0,175098406366.0
Ambiente y desarrollo sostenible,32,"Instituto de hidrología, meteorología y estudios ambientales- ideam",3202,Funcionamiento,2025,67307033210.0,67307033210.0
Ambiente y desarrollo sostenible,32,"Instituto de hidrología, meteorología y estudios ambientales- ideam",3202,Inversión,2025,31999229301.0,31999229301.0
Ambiente y desarrollo sostenible,32,Ministerio de ambiente y desarrollo sostenible,3201,Funcionamiento,2025,413756961050.0,413756961050.0
Ambiente y desarrollo sostenible,32,Ministerio de ambiente y desarrollo sostenible,3201,Inversión,2025,785846835468.0,785846835468.0
"Ciencia, tecnología e innovación",39,"Ministerio de ciencia, tecnología e innovación",3901,Funcionamiento,2025,32876734000.0,32876734000.0
"Ciencia, tecnología e innovación",39,"Ministerio de ciencia, tecnología e innovación",3901,Inversión,2025,266987639124.0,266987639124.0
"Comercio, industria y turismo",35,Instituto nacional de metrología - inm,3505,Funcionamiento,2025,23980556000.0,23980556000.0
"Comercio, industria y turismo",35,Instituto nacional de metrología - inm,3505,Inversión,2025,15715756932.0,15715756932.0
"Comercio, industria y turismo",35,"Ministerio de comercio, industria y turismo",3501,Funcionamiento,2025,660302227000.0,660302227000.0
"Comercio, industria y turismo",35,"Ministerio de comercio, industria y turismo",3501,Inversión,2025,198352184065.0,198352184065.0
"Comercio, industria y turismo",35,Superintendencia de industria y comercio,3503,Funcionamiento,2025,226582198000.0,226582198000.0
"Comercio, industria y turismo",35,Superintendencia de industria y comercio,3503,Inversión,2025,145087794139.0,145087794139.0
"Comercio, industria y turismo",35,Superintendencia de sociedades,3502,Funcionamiento,2025,194184002000.0,194184002000.0
"Comercio, industria y turismo",35,Superintendencia de sociedades,3502,Inversión,2025,30696200000.0,30696200000.0
"Comercio, industria y turismo",35,Unidad administrativa especial junta central contadores,3504,Funcionamiento,2025,15548661000.0,15548661000.0
"Comercio, industria y turismo",35,Unidad administrativa especial junta central contadores,3504,Inversión,2025,14000753000.0,14000753000.0
Congreso de la república,1,Congreso de la república,101,Funcionamiento,2025,1112522000000.0,1112522000000.0
Congreso de la república,1,Congreso de la república,101,Deuda,2025,1106000000.0,1106000000.0
Congreso de la república,1,Congreso de la república,101,Inversión,2025,200000000000.0,200000000000.0
Defensa y policía,15,Agencia logística de las fuerzas militares,1520,Funcionamiento,2025,1074126000000.0,1074126000000.0
Defensa y policía,15,Agencia logística de las fuerzas militares,1520,Inversión,2025,6500000000.0,6500000000.0
Defensa y policía,15,Caja de retiro de las fuerzas militares,1503,Funcionamiento,2025,7731579000000.0,7731579000000.0
Defensa y policía,15,Caja de retiro de las fuerzas militares,1503,Inversión,2025,16480000000.0,16480000000.0
Defensa y policía,15,Caja de sueldos de retiro de la policía nacional,1511,Funcionamiento,2025,7327127000000.0,7327127000000.0
Defensa y policía,15,Caja de sueldos de retiro de la policía nacional,1511,Inversión,2025,9548000000.0,9548000000.0
Defensa y policía,15,Club militar de oficiales,1510,Funcionamiento,2025,55497000000.0,55497000000.0
Defensa y policía,15,Club militar de oficiales,1510,Inversión,2025,4578000000.0,4578000000.0
Defensa y policía,15,"Defensa civil colombiana, guillermo león valencia",1508,Funcionamiento,2025,44705000000.0,44705000000.0
Defensa y policía,15,"Defensa civil colombiana, guillermo león valencia",1508,Inversión,2025,8000000000.0,8000000000.0
Defensa y policía,15,Fondo rotatorio de la policía,1512,Funcionamiento,2025,307162000000.0,307162000000.0
Defensa y policía,15,Fondo rotatorio de la policía,1512,Inversión,2025,5276235351.0,5276235351.0
Defensa y policía,15,Hospital militar,1519,Funcionamiento,2025,519740000000.0,519740000000.0
Defensa y policía,15,Hospital militar,1519,Inversión,2025,46400000000.0,46400000000.0
Defensa y policía,15,Instituto casas fiscales del ejército,1507,Funcionamiento,2025,36841000000.0,36841000000.0
Defensa y policía,15,Instituto casas fiscales del ejército,1507,Inversión,2025,38200000000.0,38200000000.0
Defensa y policía,15,Ministerio de defensa nacional,1501,Funcionamiento,2025,22171364000000.0,22171364000000.0
Defensa y policía,15,Ministerio de defensa nacional,1501,Deuda,2025,551476868334.0,551476868334.0
Defensa y policía,15,Ministerio de defensa nacional,1501,Inversión,2025,2099102953143.0,2099102953143.0
Defensa y policía,15,Superintendencia de vigilancia y seguridad privada,1516,Funcionamiento,2025,33484000000.0,33484000000.0
Defensa y policía,15,Superintendencia de vigilancia y seguridad privada,1516,Inversión,2025,4575000000.0,4575000000.0
Defensa y policía,15,Unidad administrativa especial de la justicia penal militar y policial,1521,Funcionamiento,2025,175754000000.0,175754000000.0
Defensa y policía,15,Unidad administrativa especial de la justicia penal militar y policial,1521,Inversión,2025,6227362144.0,6227362144.0
Defensa y policía,16,Policía nacional,1601,Funcionamiento,2025,16568377000000.0,16568377000000.0
Defensa y policía,16,Policía nacional,1601,Inversión,2025,238562549467.0,238562549467.0
Deporte y recreación,43,Ministerio del deporte,4301,Funcionamiento,2025,64365817578.0,64365817578.0
Deporte y recreación,43,Ministerio del deporte,4301,Inversión,2025,400000000000.0,400000000000.0
Educación,22,Entes autónomos universitarios estatales - universidades públicas,2257,Funcionamiento,2025,6437590659064.0,6437590659064.0
Educación,22,Entes autónomos universitarios estatales - universidades públicas,2257,Inversión,2025,127332668286.0,127332668286.0
Educación,22,Escuela tecnológica instituto técnico central,2234,Funcionamiento,2025,49826078281.0,49826078281.0
Educación,22,Escuela tecnológica instituto técnico central,2234,Inversión,2025,19207038725.0,19207038725.0
Educación,22,Instituto nacional de formación técnica profesional de san andres y providencia,2238,Funcionamiento,2025,8747852389.0,8747852389.0
Educación,22,Instituto nacional de formación técnica profesional de san andres y providencia,2238,Inversión,2025,8217481969.0,8217481969.0
Educación,22,Instituto nacional de formación técnica profesional de san juan del cesar,2239,Funcionamiento,2025,11137346365.0,11137346365.0
Educación,22,Instituto nacional de formación técnica profesional de san juan del cesar,2239,Inversión,2025,9388000000.0,9388000000.0
Educación,22,Instituto tolimense de formación técnica profesional,2241,Funcionamiento,2025,30444508468.0,30444508468.0
Educación,22,Instituto tolimense de formación técnica profesional,2241,Inversión,2025,8184071470.0,8184071470.0
Educación,22,"Instituto técnico nacional de comercio ""simón rodríguez"" de cali",2242,Funcionamiento,2025,15041341108.0,15041341108.0
Educación,22,"Instituto técnico nacional de comercio ""simón rodríguez"" de cali",2242,Inversión,2025,12125395223.0,12125395223.0
Educación,22,Ministerio de educación nacional,2201,Funcionamiento,2025,64660612334782.0,64660612334782.0
Educación,22,Ministerio de educación nacional,2201,Inversión,2025,5722845061826.0,5722845061826.0
Educación,22,Unidad administrativa especial alimentación escolar,2246,Funcionamiento,2025,16318707345.0,16318707345.0
Educación,22,Unidad administrativa especial alimentación escolar,2246,Inversión,2025,2105728519128.0,2105728519128.0
Empleo público,5,Departamento administrativo de la función pública,501,Funcionamiento,2025,34103299265.0,34103299265.0
Empleo público,5,Departamento administrativo de la función pública,501,Inversión,2025,15000356199.0,15000356199.0
Empleo público,5,Escuela superior de administración pública (esap),503,Funcionamiento,2025,145292167438.0,145292167438.0
Empleo público,5,Escuela superior de administración pública (esap),503,Inversión,2025,272535702975.0,272535702975.0
Empleo público,38,Comisión nacional del servicio civil,3801,Funcionamiento,2025,36967864777.0,36967864777.0
Empleo público,38,Comisión nacional del servicio civil,3801,Inversión,2025,109930103096.0,109930103096.0
Fiscalía,29,Fiscalía general de la nación,2901,Funcionamiento,2025,6214415600000.0,6214415600000.0
Fiscalía,29,Fiscalía general de la nación,2901,Deuda,2025,173977914661.0,173977914661.0
Fiscalía,29,Fiscalía general de la nación,2901,Inversión,2025,206231750000.0,206231750000.0
Fiscalía,29,Fondo especial para la administración de bienes de la fiscalía general de la nación,2904,Funcionamiento,2025,19569955000.0,19569955000.0
Fiscalía,29,Fondo especial para la administración de bienes de la fiscalía general de la nación,2904,Inversión,2025,19276000000.0,19276000000.0
Fiscalía,29,Instituto nacional de medicina legal y ciencias forenses,2902,Funcionamiento,2025,389542913000.0,389542913000.0
Fiscalía,29,Instituto nacional de medicina legal y ciencias forenses,2902,Inversión,2025,114155647000.0,114155647000.0
Hacienda,13,Fondo adaptación,1315,Funcionamiento,2025,44434000000.0,44434000000.0
Hacienda,13,Fondo adaptación,1315,Inversión,2025,623765525677.0,623765525677.0
Hacienda,13,Ministerio de hacienda y crédito público,1301,Funcionamiento,2025,27138681900960.0,27138681900960.0
Hacienda,13,Ministerio de hacienda y crédito público,1301,Inversión,2025,3611995766423.0,3611995766423.0
Hacienda,13,Superintendencia de la economía solidaria,1309,Funcionamiento,2025,25169000000.0,25169000000.0
Hacienda,13,Superintendencia de la economía solidaria,1309,Inversión,2025,10000000000.0,10000000000.0
Hacienda,13,Superintendencia financiera de colombia,1313,Funcionamiento,2025,411995624000.0,411995624000.0
Hacienda,13,Superintendencia financiera de colombia,1313,Inversión,2025,61066305153.0,61066305153.0
Hacienda,13,Unidad administrativa especial contaduría general de la nación,1308,Funcionamiento,2025,24549000000.0,24549000000.0
Hacienda,13,Unidad administrativa especial contaduría general de la nación,1308,Inversión,2025,8700000000.0,8700000000.0
Hacienda,13,Unidad administrativa especial de gestión  pensional y contribuciones parafiscales de la protección social (ugppp),1314,Funcionamiento,2025,279210000000.0,279210000000.0
Hacienda,13,Unidad administrativa especial de gestión  pensional y contribuciones parafiscales de la protección social (ugppp),1314,Inversión,2025,7000000000.0,7000000000.0
Hacienda,13,Unidad administrativa especial dirección de impuestos y aduanas nacionales,1310,Funcionamiento,2025,4336363532000.0,4336363532000.0
Hacienda,13,Unidad administrativa especial dirección de impuestos y aduanas nacionales,1310,Inversión,2025,78629373000.0,78629373000.0
Hacienda,13,Unidad de información y análisis financiero,1312,Funcionamiento,2025,31256000000.0,31256000000.0
Hacienda,13,Unidad de información y análisis financiero,1312,Inversión,2025,5027100000.0,5027100000.0
Igualdad y equidad,46,Instituto colombiano de bienestar familiar (icbf),4602,Funcionamiento,2025,1151138129543.0,1151138129543.0
Igualdad y equidad,46,Instituto colombiano de bienestar familiar (icbf),4602,Inversión,2025,9539621582782.0,9539621582782.0
Igualdad y equidad,46,Instituto nacional para ciegos (inci),4601,Funcionamiento,2025,798523000000.0,798523000000.0
Igualdad y equidad,46,Instituto nacional para ciegos (inci),4601,Inversión,2025,498912000000.0,498912000000.0
Igualdad y equidad,46,Instituto nacional para ciegos (inci),4604,Funcionamiento,2025,8306001653.0,8306001653.0
Igualdad y equidad,46,Instituto nacional para ciegos (inci),4604,Inversión,2025,3764015576.0,3764015576.0
Igualdad y equidad,46,Instituto nacional para sordos (insor),4603,Funcionamiento,2025,8852229359.0,8852229359.0
Igualdad y equidad,46,Instituto nacional para sordos (insor),4603,Inversión,2025,8358622693.0,8358622693.0
Inclusión social y reconciliación,41,Centro de memoria histórica,4105,Funcionamiento,2025,18503458353.0,18503458353.0
Inclusión social y reconciliación,41,Centro de memoria histórica,4105,Inversión,2025,60905600185.0,60905600185.0
Inclusión social y reconciliación,41,Departamento administrativo para la prosperidad social,4101,Funcionamiento,2025,262123929351.0,262123929351.0
Inclusión social y reconciliación,41,Departamento administrativo para la prosperidad social,4101,Inversión,2025,5399606566879.0,5399606566879.0
Inclusión social y reconciliación,41,Unidad de atención y reparación integral a las víctimas,4104,Funcionamiento,2025,1822309711324.0,1822309711324.0
